7	0.27	0.36	20.7	0.045	45	170	1.001	3	0.45	8.8	0
6.3	0.3	0.34	1.6	0.049	14	132	0.994	3.3	0.49	9.5	0
8.1	0.28	0.4	6.9	0.05	30	97	0.9951	3.26	0.44	10.1	0
7.2	0.23	0.32	8.5	0.058	47	186	0.9956	3.19	0.4	9.9	0
7.2	0.23	0.32	8.5	0.058	47	186	0.9956	3.19	0.4	9.9	0
8.1	0.28	0.4	6.9	0.05	30	97	0.9951	3.26	0.44	10.1	0
6.2	0.32	0.16	7	0.045	30	136	0.9949	3.18	0.47	9.6	0
7	0.27	0.36	20.7	0.045	45	170	1.001	3	0.45	8.8	0
6.3	0.3	0.34	1.6	0.049	14	132	0.994	3.3	0.49	9.5	0
8.1	0.27	0.41	1.45	0.033	11	63	0.9908	2.99	0.56	12	0
8.6	0.23	0.4	4.2	0.035	17	109	0.9947	3.14	0.53	9.7	0
7.9	0.18	0.37	1.2	0.04	16	75	0.992	3.18	0.63	10.8	0
6.6	0.16	0.4	1.5	0.044	48	143	0.9912	3.54	0.52	12.4	1
6.666	0.1616	0.404	1.515	0.04444	48.48	144.43	1.001112	3.5753999	0.5252	12.523999	1
6.534	0.1584	0.396	1.485	0.04356	47.52	141.57	0.98128796	3.5046	0.51479995	12.276	1
8.3	0.42	0.62	19.25	0.04	41	172	1.0002	2.98	0.67	9.7	0
6.6	0.17	0.38	1.5	0.032	28	112	0.9914	3.25	0.55	11.4	1
6.666	0.1717	0.3838	1.515	0.03232	28.28	113.12	1.001314	3.2825	0.55550003	11.514	1
6.534	0.1683	0.3762	1.485	0.031680003	27.72	110.88	0.981486	3.2175	0.5445	11.285999	1
6.3	0.48	0.04	1.1	0.046	30	99	0.9928	3.24	0.36	9.6	0
6.2	0.66	0.48	1.2	0.029	29	75	0.9892	3.33	0.39	12.8	1
6.2619996	0.66660005	0.48479998	1.212	0.02929	29.29	75.75	0.999092	3.3632998	0.39389998	12.928	1
6.138	0.6534	0.4752	1.1880001	0.028709998	28.71	74.25	0.979308	3.2967	0.3861	12.672	1
7.4	0.34	0.42	1.1	0.033	17	171	0.9917	3.12	0.53	11.3	0
6.2	0.66	0.48	1.2	0.029	29	75	0.9892	3.33	0.39	12.8	1
6.2619996	0.66660005	0.48479998	1.212	0.02929	29.29	75.75	0.999092	3.3632998	0.39389998	12.928	1
6.138	0.6534	0.4752	1.1880001	0.028709998	28.71	74.25	0.979308	3.2967	0.3861	12.672	1
6.4	0.31	0.38	2.9	0.038	19	102	0.9912	3.17	0.35	11	1
6.464	0.3131	0.3838	2.9290001	0.038379997	19.19	103.02	1.001112	3.2017	0.3535	11.11	1
6.336	0.3069	0.3762	2.871	0.03762	18.81	100.98	0.98128796	3.1383002	0.34649998	10.89	1
